               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079049,            0.025473,            0.077397,           0.0033366,             0.95192,            0.049689,            0.018389,            0.028318,            0.011287,            0.052395,            0.070476,           0.0032804,           0.0032804
                   1,            0.054029,            0.021161,            0.076354,            0.036471,             0.67757,             0.12091,             0.07538,            0.021305,           0.0077202,              0.0517,            0.040463,           0.0066007,           0.0066007
                   2,            0.051066,            0.018498,            0.074626,            0.034608,             0.60958,             0.12239,             0.07737,            0.026357,           0.0047275,            0.051674,            0.010437,           0.0099077,           0.0099077
                   3,            0.043732,            0.015428,            0.070203,             0.01839,             0.94872,             0.14097,            0.059496,            0.032106,           0.0041579,             0.05051,           0.0099406,           0.0099406,           0.0099406
                   4,            0.040551,            0.014229,            0.069195,            0.036177,             0.92885,             0.18695,             0.10001,             0.02201,            0.003936,            0.050477,           0.0099406,           0.0099406,           0.0099406
                   5,            0.041356,            0.013353,            0.070205,             0.06182,             0.82115,             0.24994,             0.13452,            0.022898,           0.0037634,            0.049181,           0.0099208,           0.0099208,           0.0099208
                   6,            0.037558,            0.012741,             0.06835,            0.024031,             0.91346,             0.16509,             0.08603,              0.0264,            0.005317,             0.04895,            0.009901,            0.009901,            0.009901
                   7,            0.037031,            0.012721,            0.067399,             0.36616,             0.28846,             0.27916,              0.2015,             0.01566,           0.0035479,            0.045161,           0.0098812,           0.0098812,           0.0098812
                   8,            0.036098,             0.01269,            0.066634,             0.32811,             0.24908,             0.27761,             0.16771,            0.018807,           0.0038361,            0.044417,           0.0098614,           0.0098614,           0.0098614
                   9,            0.034187,            0.012427,            0.064978,             0.35204,             0.37112,             0.28532,             0.17874,            0.018868,           0.0033857,            0.044176,           0.0098416,           0.0098416,           0.0098416
                  10,            0.035367,            0.012099,            0.065754,             0.43862,             0.51916,             0.40361,             0.28115,            0.016751,           0.0033394,            0.040681,           0.0098218,           0.0098218,           0.0098218
                  11,               0.033,            0.012155,            0.061531,             0.40665,             0.49612,             0.36602,             0.24708,            0.017759,           0.0032895,            0.039994,            0.009802,            0.009802,            0.009802
                  12,            0.031058,            0.011376,            0.061344,             0.38792,             0.34102,             0.38208,             0.26363,            0.018984,           0.0043732,            0.039719,           0.0097822,           0.0097822,           0.0097822
                  13,            0.032286,            0.011336,            0.057486,             0.35743,              0.5856,             0.39773,             0.26121,            0.020005,           0.0033092,            0.037061,           0.0097624,           0.0097624,           0.0097624
                  14,            0.031543,            0.011676,            0.056955,              0.3673,             0.55591,             0.48079,             0.30014,            0.019806,           0.0030483,             0.03563,           0.0097426,           0.0097426,           0.0097426
                  15,            0.031996,            0.011338,            0.055289,             0.37155,             0.54076,             0.49965,             0.28128,            0.018925,            0.003455,            0.035299,           0.0097228,           0.0097228,           0.0097228
                  16,            0.031444,             0.01135,            0.058115,             0.39947,             0.53997,             0.40452,              0.2637,            0.019395,           0.0041141,            0.035517,            0.009703,            0.009703,            0.009703
                  17,            0.031977,            0.011568,            0.056146,             0.37667,             0.59572,             0.47091,             0.32232,            0.017867,           0.0041395,            0.034129,           0.0096832,           0.0096832,           0.0096832
